Account Number,Group ID
11730,BSN
25160,GAME_ONE
1389,ALLI_GROUP
1260,BADGER_GROUP
10980,LEAGUE
6812,ALLI_GROUP
1336,ALLI_GROUP
5790,ALLI_GROUP
5482,ALLI_GROUP
4562,ALLI_GROUP
2054,ALLI_GROUP
13
DIRECT_AYF
Certor
Direct
