ITEM_NBR,PRICE
84314503F,0.95
14035003,23.75
13621102F,5.7
13061202,3.8
3356502M02T,4.75
8433440601F,9.5
89410206F,0.95
89411006F,1.9
14025003,23.75
13402402,2.85
13110201,1.9
13420202,3.8
80131707,57.0
80130506,57.0
