ITEM_NBR,PRICE
84314503F,0.85
14035003,21.25
13621102F,5.1
13061202,3.4
3356502M02T,4.25
8433440601F,8.5
89410206F,0.85
89411006F,1.7
14025003,21.25
13402402,2.55
13110201,1.7
13420202,3.4
80131707,51.0
80130506,51.0
