ITEM_NBR,PRICE
84314503F,1.0
14035003,25.0
13621102F,6.0
13061202,4.0
3356502M02T,5.0
8433440601F,10.0
89410206F,1.0
89411006F,2.0
14025003,25.0
13402402,3.0
13110201,2.0
13420202,4.0
80131707,60.0
80130506,60.0
