Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Barrel Color (product.metafields.custom.barrel_color),Barrel Shape (product.metafields.custom.barrel_shape),Bat Series (product.metafields.custom.bat_series),Compatible Helmet Type (product.metafields.custom.compatible_helmet_type),Facemask/No Facemask (product.metafields.custom.facemask_no_facemask),Knob Shape (product.metafields.custom.knob_shape),Leadtime (product.metafields.custom.leadtime),Level of Play (product.metafields.custom.level_of_play),Custom Pricing Upgrades (product.metafields.custom.pricing),Key Specs (product.metafields.portul.keyspecs),Includes (product.metafields.product.includes),Product rating count (product.metafields.reviews.rating_count),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Colors (product.metafields.specs.color),Head Circumference — Size (product.metafields.specs.headcircumferencesize),Material (product.metafields.specs.material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
varsity-mouthgard-with-strap-2-pack,VARSITY MOUTHGARD WITH STRAP - 2 PACK,"",Certor B2B,,Closeout,"",true,Color,Black,,,,,,,,89410206F,0.0,shopify,deny,manual,1.00,,true,true,,,,,714195588655,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/NxrSrXW_e124312a-50da-4769-8d0c-7e9396ad1e20.png?v=1770133794,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/NxrSrXW_e124312a-50da-4769-8d0c-7e9396ad1e20.png?v=1770133794,lb,,,true,,,active
varsity-mouthgard-with-strap-10-pack,VARSITY MOUTHGARD WITH STRAP - 10 PACK,"",Certor B2B,,Closeout,"",true,Color,Black,,,,,,,,89411006F,0.0,shopify,deny,manual,2.00,,true,true,,,,,714195588853,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/NxrSrXW_3ae5488c-5f89-40a2-bb25-e8e090d0f4d1.png?v=1770133794,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/NxrSrXW_3ae5488c-5f89-40a2-bb25-e8e090d0f4d1.png?v=1770133794,lb,,,true,,,active
varsity-mouthgard-with-strap-100-pack,VARSITY MOUTHGARD WITH STRAP - 100 PACK,"",Certor B2B,,Closeout,"",true,Color,Scarlet,,,,,,,,14025003,0.0,shopify,deny,manual,25.00,,true,true,,,,,714195713811,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/7ZucXId.png?v=1770133793,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/7ZucXId.png?v=1770133793,lb,,,true,,,active
varsity-mouthgard-with-strap-100-pack,,,,,,,,,Black,,,,,,,,14025006,0.0,shopify,deny,manual,25.00,,true,true,,,,,714195713019,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/NxrSrXW.png?v=1770133792,2,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/NxrSrXW.png?v=1770133792,lb,,,,,,
varsity-mouthgard-with-strap-100-pack,,,,,,,,,Navy,,,,,,,,14025008,0.0,shopify,deny,manual,25.00,,true,true,,,,,714195713415,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/eE2qn9F.png?v=1770133794,3,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/eE2qn9F.png?v=1770133794,lb,,,,,,
varsity-lightweight-knee-pad-skill,VARSITY LIGHTWEIGHT KNEE PAD - SKILL,"",Certor B2B,,Closeout,"",true,Title,Default Title,,,,,,,,13402402,0.0,shopify,deny,manual,3.00,,true,true,,,,,714195550553,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/RPfLKbI.jpg?v=1770133792,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/RPfLKbI.jpg?v=1770133792,lb,,,true,,,active
varsity-hd-thigh-pad-set,VARSITY HD THIGH PAD SET,"",Certor B2B,,Closeout,"",true,Title,Default Title,,,,,,,,13110201,0.0,shopify,deny,manual,2.00,,true,true,,,,,714195376535,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/u2ZFlaF.jpg?v=1770133790,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/u2ZFlaF.jpg?v=1770133790,lb,,,true,,,active
varsity-dipped-knee-pad,VARSITY DIPPED KNEE PAD,"",Certor B2B,,Closeout,"",true,Title,Default Title,,,,,,,,13420202,0.0,shopify,deny,manual,4.00,,true,true,,,,,714195134203,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/3YfuZSX.jpg?v=1770133788,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/3YfuZSX.jpg?v=1770133788,lb,,,true,,,active
varisty-xv-hd-shoulder-pads-skill,VARISTY XV HD SHOULDER PADS - SKILL,"",Certor B2B,,Closeout,"",true,Size,2X-Large,,,,,,,,80131707,0.0,shopify,deny,manual,60.00,,true,true,,,,,714195419089,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/LfWu5BE.jpg?v=1770133787,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/LfWu5BE.jpg?v=1770133787,lb,,,true,,,active
varisty-xv-hd-shoulder-pads-qb-wr,VARISTY XV HD SHOULDER PADS - QB/WR,"",Certor B2B,,Closeout,"",true,Size,X-Large,,,,,,,,80130506,0.0,shopify,deny,manual,60.00,,true,true,,,,,714195419485,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/NUiUPY0.jpg?v=1770133786,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/NUiUPY0.jpg?v=1770133786,lb,,,true,,,active
tucci-sliding-mitt,TUCCI SLIDING MITT,"",Certor B2B,,Closeout,"",true,Size,OSFM,,Color,Black,,,,,128740006,0.0,shopify,deny,manual,6.00,,true,true,,,,,714195729706,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/Yc6cWfL.jpg?v=1770133784,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/Yc6cWfL.jpg?v=1770133784,lb,,,true,,,active
tucci-batting-tee,TUCCI BATTING TEE,"",Certor B2B,,Closeout,"",true,Title,Default Title,,,,,,,,12810550T,0.0,shopify,deny,manual,10.00,,true,true,,,,,714195662683,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/vL0s49r.jpg?v=1770133784,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/vL0s49r.jpg?v=1770133784,lb,,,true,,,active
triple-multiflex-leg-guard-tucci,TRIPLE MULTIFLEX LEG GUARD - TUCCI,"",Certor B2B,,Closeout,"",true,Size,"13""",,Color,True Royal Blue,,,,,1265030605T,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195803680,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/foAlE6I.png?v=1770133780,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/foAlE6I.png?v=1770133780,lb,,,true,,,active
triple-multiflex-leg-guard-tucci,,,,,,,,,"14""",,,Scarlet,,,,,1265040603T,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195803987,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/p7wyGnY.jpg?v=1770133781,2,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/p7wyGnY.jpg?v=1770133781,lb,,,,,,
triple-multiflex-leg-guard-tucci,,,,,,,,,"14""",,,True Royal Blue,,,,,1265040605T,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195804083,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/ekGg4ds.jpg?v=1770133780,3,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/foAlE6I.png?v=1770133780,lb,,,,,,
triple-multiflex-leg-guard-tucci,,,,,,,,,"16""",,,Scarlet,,,,,1265060603T,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195804380,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/p7wyGnY.jpg?v=1770133781,lb,,,,,,
triple-multiflex-leg-guard-tucci,,,,,,,,,"16""",,,Black,,,,,1265060606T,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195804588,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/ekGg4ds.jpg?v=1770133780,lb,,,,,,
triple-multiflex-leg-guard-tucci,,,,,,,,,"17""",,,Scarlet,,,,,1265070603T,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195804786,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/p7wyGnY.jpg?v=1770133781,lb,,,,,,
triple-multiflex-leg-guard-tucci,,,,,,,,,"17""",,,True Royal Blue,,,,,1265070605T,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195804885,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/foAlE6I.png?v=1770133780,lb,,,,,,
triple-multiflex-leg-guard-tucci,,,,,,,,,"17""",,,Black,,,,,1265070606T,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195804984,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/ekGg4ds.jpg?v=1770133780,lb,,,,,,
slide-rite-2-0-replacement-sheet,SLIDE RITE 2.0 REPLACEMENT SHEET,"",Certor B2B,,Closeout,"",true,Title,Default Title,,,,,,,,12911243,0.0,shopify,deny,manual,5.00,,true,true,,,,,714195570223,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/DJa03XV.jpg?v=1770133774,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/DJa03XV.jpg?v=1770133774,lb,,,true,,,active
scrimmage-cap,SCRIMMAGE CAP,"",Certor B2B,,Closeout,"",true,Size,OSFA,,Color,Scarlet,,,,,84312603,0.0,shopify,deny,manual,0.50,,true,true,,,,,714195689826,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/K8lg3JB.jpg?v=1770133773,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/K8lg3JB.jpg?v=1770133773,lb,,,true,,,active
scorpion-triple-flex-leg-guard-tucci,SCORPION TRIPLE FLEX LEG GUARD - TUCCI,"",Certor B2B,,Closeout,"",true,Size,"16""",,Color,Scarlet,,,,,1264900603T,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195802683,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/sHZKKxB_4c4f9904-bdcb-46a7-8977-0cb5fa0c9b05.jpg?v=1770133769,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/sHZKKxB_4c4f9904-bdcb-46a7-8977-0cb5fa0c9b05.jpg?v=1770133769,lb,,,true,,,active
scorpion-triple-flex-leg-guard-tucci,,,,,,,,,"16""",,,Purple,,,,,1264900611T,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195802485,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/r59D1n7_cacf5d9d-cc5c-426f-9896-aad06dbd55d7.jpg?v=1770133769,2,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/r59D1n7_cacf5d9d-cc5c-426f-9896-aad06dbd55d7.jpg?v=1770133769,lb,,,,,,
scorpion-triple-flex-leg-guard-tucci,,,,,,,,,"17""",,,Scarlet,,,,,1264910603T,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195803284,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/2vjmx0o_6d47744d-6342-400a-bdad-a858b8230b42.jpg?v=1770133769,3,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/sHZKKxB_4c4f9904-bdcb-46a7-8977-0cb5fa0c9b05.jpg?v=1770133769,lb,,,,,,
scorpion-triple-flex-leg-guard-tucci,,,,,,,,,"17""",,,Black,,,,,1264910606T,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195802782,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/2vjmx0o_6d47744d-6342-400a-bdad-a858b8230b42.jpg?v=1770133769,lb,,,,,,
scorpion-triple-flex-leg-guard,SCORPION TRIPLE FLEX LEG GUARD,"",Certor B2B,,Closeout,"",true,Size,"14""",,Color,Scarlet,,,,,1264890603,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195400735,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/sHZKKxB_ff7c0ad8-41eb-4634-a980-aa5e67e0ae0f.jpg?v=1770133768,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/sHZKKxB_ff7c0ad8-41eb-4634-a980-aa5e67e0ae0f.jpg?v=1770133768,lb,,,true,,,active
scorpion-triple-flex-leg-guard,,,,,,,,,"14""",,,Navy,,,,,1264890608,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195400933,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/Jho9kMq_81f2ad95-719a-439b-bb66-a1996955a76c.jpg?v=1770133769,2,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/Jho9kMq_81f2ad95-719a-439b-bb66-a1996955a76c.jpg?v=1770133769,lb,,,,,,
scorpion-triple-flex-leg-guard,,,,,,,,,"14""",,,Dark Green,,,,,1264890614,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195761690,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/U9gOYPj_c865a971-4e46-436e-9a60-b65bed1dc731.jpg?v=1770133769,3,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/U9gOYPj_c865a971-4e46-436e-9a60-b65bed1dc731.jpg?v=1770133769,lb,,,,,,
scorpion-triple-flex-leg-guard,,,,,,,,,"16""",,,Orange,,,,,1264900609,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195323683,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/vE7TbM8_3562d6d0-f600-4839-9299-a4ecd121f65c.jpg?v=1770133769,4,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/vE7TbM8_3562d6d0-f600-4839-9299-a4ecd121f65c.jpg?v=1770133769,lb,,,,,,
scorpion-triple-flex-leg-guard,,,,,,,,,"16""",,,Purple,,,,,1264900611,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195323782,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/r59D1n7_8f7a63bc-5f6d-4616-9a51-9cf6e5788a00.jpg?v=1770133768,5,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/r59D1n7_8f7a63bc-5f6d-4616-9a51-9cf6e5788a00.jpg?v=1770133768,lb,,,,,,
scorpion-triple-flex-leg-guard,,,,,,,,,"16""",,,Maroon,,,,,1264900612,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195761898,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/L3AZ1pS_d1ded592-aebc-42c3-90ba-0e9687a8ec7f.jpg?v=1770133768,6,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/L3AZ1pS_d1ded592-aebc-42c3-90ba-0e9687a8ec7f.jpg?v=1770133768,lb,,,,,,
scorpion-triple-flex-leg-guard,,,,,,,,,"16""",,,Dark Green,,,,,1264900614,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195761997,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/U9gOYPj_c865a971-4e46-436e-9a60-b65bed1dc731.jpg?v=1770133769,lb,,,,,,
scorpion-triple-flex-leg-guard,,,,,,,,,"17""",,,Dark Green,,,,,1264910614,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195762291,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/U9gOYPj_c865a971-4e46-436e-9a60-b65bed1dc731.jpg?v=1770133769,lb,,,,,,
scorpion-double-flex-leg-guard-tucci,SCORPION DOUBLE FLEX LEG GUARD - TUCCI,"",Certor B2B,,Closeout,"",true,Size,"13""",,Color,Black,,,,,1264780606T,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195799785,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/2vjmx0o_ef3405cd-2bc0-4f75-b0bf-df4cbfe906cc.jpg?v=1770133766,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/2vjmx0o_ef3405cd-2bc0-4f75-b0bf-df4cbfe906cc.jpg?v=1770133766,lb,,,true,,,active
scorpion-double-flex-leg-guard-tucci,,,,,,,,,"14""",,,Scarlet,,,,,1264790603T,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195800887,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/sHZKKxB_ce5d9385-0520-4cea-a2fb-602bd509aca4.jpg?v=1770133767,2,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/sHZKKxB_ce5d9385-0520-4cea-a2fb-602bd509aca4.jpg?v=1770133767,lb,,,,,,
scorpion-double-flex-leg-guard,SCORPION DOUBLE FLEX LEG GUARD,"",Certor B2B,,Closeout,"",true,Size,"13""",,Color,True Royal Blue,,,,,1264780605,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195398834,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/RHTkYSU.jpg?v=1770133766,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/RHTkYSU.jpg?v=1770133766,lb,,,true,,,active
scorpion-double-flex-leg-guard,,,,,,,,,"13""",,,Black,,,,,1264780606,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195759994,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/2vjmx0o.jpg?v=1770133766,2,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/2vjmx0o.jpg?v=1770133766,lb,,,,,,
scorpion-double-flex-leg-guard,,,,,,,,,"13""",,,Dark Green,,,,,1264780614,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195760198,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/U9gOYPj.jpg?v=1770133766,3,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/U9gOYPj.jpg?v=1770133766,lb,,,,,,
scorpion-double-flex-leg-guard,,,,,,,,,"14""",,,True Royal Blue,,,,,1264790605,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195399237,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/Jho9kMq.jpg?v=1770133766,4,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/RHTkYSU.jpg?v=1770133766,lb,,,,,,
scorpion-double-flex-leg-guard,,,,,,,,,"14""",,,Navy,,,,,1264790608,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195399336,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/vE7TbM8.jpg?v=1770133766,5,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/Jho9kMq.jpg?v=1770133766,lb,,,,,,
scorpion-double-flex-leg-guard,,,,,,,,,"14""",,,Orange,,,,,1264790609,0.0,shopify,deny,manual,8.00,,true,true,,,,,714195323089,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/sHZKKxB.jpg?v=1770133766,6,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/vE7TbM8.jpg?v=1770133766,lb,,,,,,
